order_date,region,category,revenue,units
2026-05-15,East,Gadgets,1216.98,50
2026-05-15,East,Gizmos,781.97,31
2026-05-16,North,Widgets,714.91,29
2026-05-16,North,Gadgets,532.87,26
2026-05-16,North,Gizmos,347.53,15
2026-05-16,South,Widgets,966.13,46
2026-05-16,South,Gadgets,650.82,27
2026-05-16,South,Gizmos,425.41,16
2026-05-16,East,Widgets,1069.42,47
2026-05-16,East,Gadgets,774.21,42
2026-05-16,East,Gizmos,481.66,20
2026-05-17,North,Widgets,776.0,33
2026-05-17,North,Gadgets,501.91,27
2026-05-17,North,Gizmos,314.12,15
2026-05-17,South,Widgets,896.33,40
2026-05-17,South,Gadgets,629.86,24
2026-05-17,South,Gizmos,395.1,19
2026-05-17,East,Widgets,1071.13,52
2026-05-17,East,Gadgets,815.58,37
2026-05-17,East,Gizmos,504.93,23
2026-05-18,North,Widgets,1169.72,46
2026-05-18,North,Gadgets,848.27,38
2026-05-18,North,Gizmos,508.13,24
2026-05-18,South,Widgets,1515.81,75
2026-05-18,South,Gadgets,965.81,37
2026-05-18,South,Gizmos,635.45,30
2026-05-18,East,Widgets,1820.25,76
2026-05-18,East,Gadgets,1260.33,59
2026-05-18,East,Gizmos,777.88,34
2026-05-19,North,Widgets,1234.66,52
2026-05-19,North,Gadgets,794.53,42
2026-05-19,North,Gizmos,553.63,23
2026-05-19,South,Widgets,1538.99,77
2026-05-19,South,Gadgets,1053.38,47
2026-05-19,South,Gizmos,692.4,28
2026-05-19,East,Widgets,1868.78,90
2026-05-19,East,Gadgets,1254.48,69
2026-05-19,East,Gizmos,797.28,36
2026-05-20,North,Widgets,1241.56,60
2026-05-20,North,Gadgets,802.61,32
2026-05-20,North,Gizmos,518.49,21
2026-05-20,South,Widgets,1397.23,70
2026-05-20,South,Gadgets,1076.34,47
2026-05-20,South,Gizmos,629.24,30
2026-05-20,East,Widgets,1694.88,65
2026-05-20,East,Gadgets,1267.35,49
2026-05-20,East,Gizmos,837.84,41
2026-05-21,North,Widgets,1254.47,68
2026-05-21,North,Gadgets,877.55,37
2026-05-21,North,Gizmos,559.0,29
2026-05-21,South,Widgets,1508.04,73
2026-05-21,South,Gadgets,1099.12,43
2026-05-21,South,Gizmos,656.13,25
2026-05-21,East,Widgets,1816.4,78
2026-05-21,East,Gadgets,1321.62,57
2026-05-21,East,Gizmos,789.03,43
2026-05-22,North,Widgets,1162.05,49
2026-05-22,North,Gadgets,808.5,34
2026-05-22,North,Gizmos,537.63,27
2026-05-22,South,Widgets,1460.67,71
2026-05-22,South,Gadgets,1043.43,43
2026-05-22,South,Gizmos,698.27,36
2026-05-22,East,Widgets,1845.29,74
2026-05-22,East,Gadgets,1289.51,63
2026-05-22,East,Gizmos,784.36,32
2026-05-23,North,Widgets,801.91,33
2026-05-23,North,Gadgets,514.52,22
2026-05-23,North,Gizmos,327.76,13
2026-05-23,South,Widgets,995.37,40
2026-05-23,South,Gadgets,665.0,30
2026-05-23,South,Gizmos,442.28,19
2026-05-23,East,Widgets,1193.86,59
2026-05-23,East,Gadgets,819.17,44
2026-05-23,East,Gizmos,523.47,20
2026-05-24,North,Widgets,760.53,29
2026-05-24,North,Gadgets,556.81,21
2026-05-24,North,Gizmos,351.31,16
2026-05-24,South,Widgets,916.4,47
2026-05-24,South,Gadgets,665.82,28
2026-05-24,South,Gizmos,416.64,17
2026-05-24,East,Widgets,1124.86,46
2026-05-24,East,Gadgets,800.44,34
2026-05-24,East,Gizmos,501.54,25
2026-05-25,North,Widgets,1208.41,53
2026-05-25,North,Gadgets,892.78,44
2026-05-25,North,Gizmos,571.51,30
2026-05-25,South,Widgets,1575.24,86
2026-05-25,South,Gadgets,1000.9,42
2026-05-25,South,Gizmos,704.34,39
2026-05-25,East,Widgets,1880.12,91
2026-05-25,East,Gadgets,1221.19,51
2026-05-25,East,Gizmos,841.87,37
2026-05-26,North,Widgets,1212.53,54
2026-05-26,North,Gadgets,818.43,41
2026-05-26,North,Gizmos,572.26,31
2026-05-26,South,Widgets,1613.4,79
2026-05-26,South,Gadgets,1111.14,60
2026-05-26,South,Gizmos,664.3,30
2026-05-26,East,Widgets,1870.22,91
2026-05-26,East,Gadgets,1216.58,54
2026-05-26,East,Gizmos,813.08,42
2026-05-27,North,Widgets,1270.9,70
2026-05-27,North,Gadgets,814.55,43
2026-05-27,North,Gizmos,546.11,27
2026-05-27,South,Widgets,1590.84,71
2026-05-27,South,Gadgets,1085.4,55
2026-05-27,South,Gizmos,675.49,35
2026-05-27,East,Widgets,1867.07,103
2026-05-27,East,Gadgets,1309.2,54
2026-05-27,East,Gizmos,876.89,38
2026-05-28,North,Widgets,1170.46,57
2026-05-28,North,Gadgets,889.74,39
2026-05-28,North,Gizmos,581.03,23
2026-05-28,South,Widgets,1596.96,76
2026-05-28,South,Gadgets,1073.57,48
2026-05-28,South,Gizmos,676.37,34
2026-05-28,East,Widgets,1848.53,78
2026-05-28,East,Gadgets,1362.51,61
2026-05-28,East,Gizmos,810.27,39
2026-05-29,North,Widgets,1246.24,52
2026-05-29,North,Gadgets,880.77,39
2026-05-29,North,Gizmos,555.57,23
2026-05-29,South,Widgets,1564.97,62
2026-05-29,South,Gadgets,1142.09,57
2026-05-29,South,Gizmos,668.56,28
2026-05-29,East,Widgets,1866.6,77
2026-05-29,East,Gadgets,1245.23,66
2026-05-29,East,Gizmos,853.42,33
2026-05-30,North,Widgets,778.85,31
2026-05-30,North,Gadgets,561.98,27
2026-05-30,North,Gizmos,351.49,15
2026-05-30,South,Widgets,952.61,38
2026-05-30,South,Gadgets,711.1,34
2026-05-30,South,Gizmos,464.21,20
2026-05-30,East,Widgets,1133.76,47
2026-05-30,East,Gadgets,790.16,41
2026-05-30,East,Gizmos,562.05,24
2026-05-31,North,Widgets,760.48,30
2026-05-31,North,Gadgets,566.62,24
2026-05-31,North,Gizmos,345.62,14
2026-05-31,South,Widgets,941.76,45
2026-05-31,South,Gadgets,734.49,38
2026-05-31,South,Gizmos,422.33,20
2026-05-31,East,Widgets,1217.35,57
2026-05-31,East,Gadgets,884.39,45
2026-05-31,East,Gizmos,507.41,26
2026-06-01,North,Widgets,1295.69,57
2026-06-01,North,Gadgets,830.66,36
2026-06-01,North,Gizmos,574.98,24
2026-06-01,South,Widgets,1561.25,62
2026-06-01,South,Gadgets,1154.25,54
2026-06-01,South,Gizmos,729.48,37
2026-06-01,East,Widgets,1887.85,102
2026-06-01,East,Gadgets,1282.62,59
2026-06-01,East,Gizmos,832.86,36
2026-06-02,North,Widgets,1266.73,60
2026-06-02,North,Gadgets,932.66,48
2026-06-02,North,Gizmos,601.29,26
2026-06-02,South,Widgets,1669.78,67
2026-06-02,South,Gadgets,1095.05,42
2026-06-02,South,Gizmos,684.19,31
2026-06-02,East,Widgets,1819.16,85
2026-06-02,East,Gadgets,1330.36,58
2026-06-02,East,Gizmos,856.74,46
2026-06-03,North,Widgets,1315.88,66
2026-06-03,North,Gadgets,855.6,34
2026-06-03,North,Gizmos,590.54,24
2026-06-03,South,Widgets,1521.82,64
2026-06-03,South,Gadgets,1073.05,51
2026-06-03,South,Gizmos,749.5,39
2026-06-03,East,Widgets,2016.22,100
2026-06-03,East,Gadgets,1326.91,65
2026-06-03,East,Gizmos,860.32,34
2026-06-04,North,Widgets,1347.46,66
2026-06-04,North,Gadgets,919.61,48
2026-06-04,North,Gizmos,553.44,28
2026-06-04,South,Widgets,1662.28,75
2026-06-04,South,Gadgets,1071.72,56
2026-06-04,South,Gizmos,754.44,30
2026-06-04,East,Widgets,1888.83,73
2026-06-04,East,Gadgets,1421.83,56
2026-06-04,East,Gizmos,893.7,41
2026-06-05,North,Widgets,1277.56,57
2026-06-05,North,Gadgets,923.19,36
2026-06-05,North,Gizmos,558.52,22
2026-06-05,South,Widgets,1553.5,64
2026-06-05,South,Gadgets,1061.44,41
2026-06-05,South,Gizmos,745.09,29
2026-06-05,East,Widgets,2003.06,93
2026-06-05,East,Gadgets,1358.14,56
2026-06-05,East,Gizmos,894.69,47
2026-06-06,North,Widgets,811.75,39
2026-06-06,North,Gadgets,556.29,25
2026-06-06,North,Gizmos,369.69,14
2026-06-06,South,Widgets,1035.9,41
2026-06-06,South,Gadgets,729.1,31
2026-06-06,South,Gizmos,467.27,21
2026-06-06,East,Widgets,1246.77,59
2026-06-06,East,Gadgets,833.44,36
2026-06-06,East,Gizmos,566.73,25
2026-06-07,North,Widgets,864.43,46
2026-06-07,North,Gadgets,588.91,23
2026-06-07,North,Gizmos,362.11,17
2026-06-07,South,Widgets,1077.48,50
2026-06-07,South,Gadgets,709.63,37
2026-06-07,South,Gizmos,484.39,20
2026-06-07,East,Widgets,1189.74,46
2026-06-07,East,Gadgets,883.35,48
2026-06-07,East,Gizmos,538.23,22
2026-06-08,North,Widgets,1290.37,52
2026-06-08,North,Gadgets,868.32,38
2026-06-08,North,Gizmos,605.93,32
2026-06-08,South,Widgets,1595.65,87
2026-06-08,South,Gadgets,1087.29,49
2026-06-08,South,Gizmos,711.73,32
2026-06-08,East,Widgets,1885.97,74
2026-06-08,East,Gadgets,1421.21,54
2026-06-08,East,Gizmos,870.81,45
2026-06-09,North,Widgets,1287.85,69
2026-06-09,North,Gadgets,875.38,39
2026-06-09,North,Gizmos,600.39,28
2026-06-09,South,Widgets,1559.34,63
2026-06-09,South,Gadgets,1080.12,54
2026-06-09,South,Gizmos,702.85,35
2026-06-09,East,Widgets,2037.2,86
2026-06-09,East,Gadgets,1317.32,52
2026-06-09,East,Gizmos,896.84,37
2026-06-10,North,Widgets,1336.57,69
2026-06-10,North,Gadgets,942.84,39
2026-06-10,North,Gizmos,603.75,25
2026-06-10,South,Widgets,1576.58,65
2026-06-10,South,Gadgets,1129.42,44
2026-06-10,South,Gizmos,701.17,30
2026-06-10,East,Widgets,2027.03,99
2026-06-10,East,Gadgets,1338.68,52
2026-06-10,East,Gizmos,847.21,39
2026-06-11,North,Widgets,1355.3,66
2026-06-11,North,Gadgets,957.39,51
2026-06-11,North,Gizmos,594.38,30
2026-06-11,South,Widgets,1636.14,63
2026-06-11,South,Gadgets,1151.42,61
2026-06-11,South,Gizmos,714.15,32
2026-06-11,East,Widgets,1976.22,90
2026-06-11,East,Gadgets,1354.35,70
2026-06-11,East,Gizmos,862.08,43
2026-06-12,North,Widgets,1252.9,63
2026-06-12,North,Gadgets,905.33,43
2026-06-12,North,Gizmos,606.85,25
2026-06-12,South,Widgets,1709.16,79
2026-06-12,South,Gadgets,1203.75,49
2026-06-12,South,Gizmos,738.32,32
2026-06-12,East,Widgets,1967.35,106
2026-06-12,East,Gadgets,1405.84,65
2026-06-12,East,Gizmos,938.93,41
2026-06-13,North,Widgets,879.14,40
2026-06-13,North,Gadgets,574.75,30
2026-06-13,North,Gizmos,396.16,15
2026-06-13,South,Widgets,1083.23,47
2026-06-13,South,Gadgets,756.43,37
2026-06-13,South,Gizmos,492.09,27
2026-06-13,East,Widgets,1227.39,51
2026-06-13,East,Gadgets,924.32,42
2026-06-13,East,Gizmos,552.48,25
2026-06-14,North,Widgets,831.5,38
2026-06-14,North,Gadgets,571.69,29
2026-06-14,North,Gizmos,406.25,16
2026-06-14,South,Widgets,1065.74,50
2026-06-14,South,Gadgets,731.94,34
2026-06-14,South,Gizmos,466.88,20
2026-06-14,East,Widgets,1262.68,52
2026-06-14,East,Gadgets,938.94,48
2026-06-14,East,Gizmos,594.34,27
2026-06-15,North,Widgets,1412.85,68
2026-06-15,North,Gadgets,904.38,44
2026-06-15,North,Gizmos,617.49,23
2026-06-15,South,Widgets,1716.09,82
2026-06-15,South,Gadgets,1172.71,45
2026-06-15,South,Gizmos,722.99,29
2026-06-15,East,Widgets,1999.61,87
2026-06-15,East,Gadgets,1367.9,57
2026-06-15,East,Gizmos,922.6,40
2026-06-16,North,Widgets,1335.39,58
2026-06-16,North,Gadgets,940.64,43
2026-06-16,North,Gizmos,591.4,32
2026-06-16,South,Widgets,1753.75,72
2026-06-16,South,Gadgets,1206.26,57
2026-06-16,South,Gizmos,794.58,33
2026-06-16,East,Widgets,2010.97,93
2026-06-16,East,Gadgets,1417.39,62
2026-06-16,East,Gizmos,867.78,45
2026-06-17,North,Widgets,1313.13,54
2026-06-17,North,Gadgets,982.84,47
2026-06-17,North,Gizmos,589.11,25
2026-06-17,South,Widgets,1697.15,78
2026-06-17,South,Gadgets,1190.13,53
2026-06-17,South,Gizmos,755.1,34
2026-06-17,East,Widgets,2040.6,95
2026-06-17,East,Gadgets,1374.43,70
2026-06-17,East,Gizmos,930.03,46
2026-06-18,North,Widgets,1391.0,53
2026-06-18,North,Gadgets,958.1,37
2026-06-18,North,Gizmos,610.36,23
2026-06-18,South,Widgets,1798.12,83
2026-06-18,South,Gadgets,1204.17,50
2026-06-18,South,Gizmos,770.38,35
2026-06-18,East,Widgets,2167.93,101
2026-06-18,East,Gadgets,1394.78,69
2026-06-18,East,Gizmos,909.49,46
2026-06-19,North,Widgets,1442.45,56
2026-06-19,North,Gadgets,1006.2,41
2026-06-19,North,Gizmos,583.0,22
2026-06-19,South,Widgets,1691.09,85
2026-06-19,South,Gadgets,1225.35,50
2026-06-19,South,Gizmos,811.78,42
2026-06-19,East,Widgets,2184.65,85
2026-06-19,East,Gadgets,1475.34,62
2026-06-19,East,Gizmos,931.47,49
2026-06-20,North,Widgets,872.61,39
2026-06-20,North,Gadgets,600.64,33
2026-06-20,North,Gizmos,395.63,19
2026-06-20,South,Widgets,1134.16,49
2026-06-20,South,Gadgets,781.29,31
2026-06-20,South,Gizmos,517.33,23
2026-06-20,East,Widgets,1313.79,59
2026-06-20,East,Gadgets,934.07,41
2026-06-20,East,Gizmos,622.69,34
2026-06-21,North,Widgets,860.33,36
2026-06-21,North,Gadgets,584.15,30
2026-06-21,North,Gizmos,375.57,19
2026-06-21,South,Widgets,1144.46,45
2026-06-21,South,Gadgets,807.76,35
2026-06-21,South,Gizmos,491.59,23
2026-06-21,East,Widgets,1395.36,60
2026-06-21,East,Gadgets,973.95,43
2026-06-21,East,Gizmos,613.11,31
2026-06-22,North,Widgets,1419.93,76
2026-06-22,North,Gadgets,1009.16,46
2026-06-22,North,Gizmos,617.92,27
2026-06-22,South,Widgets,1663.24,65
2026-06-22,South,Gadgets,1260.78,56
2026-06-22,South,Gizmos,746.39,28
2026-06-22,East,Widgets,1987.98,107
2026-06-22,East,Gadgets,1437.98,74
2026-06-22,East,Gizmos,964.28,47
2026-06-23,North,Widgets,1327.34,54
2026-06-23,North,Gadgets,982.66,53
2026-06-23,North,Gizmos,627.11,25
2026-06-23,South,Widgets,1722.85,95
2026-06-23,South,Gadgets,1218.43,57
2026-06-23,South,Gizmos,787.93,35
2026-06-23,East,Widgets,2090.86,106
2026-06-23,East,Gadgets,1545.04,64
2026-06-23,East,Gizmos,986.56,47
2026-06-24,North,Widgets,1364.22,75
2026-06-24,North,Gadgets,991.56,38
2026-06-24,North,Gizmos,643.3,31
2026-06-24,South,Widgets,1695.36,88
2026-06-24,South,Gadgets,1260.13,54
2026-06-24,South,Gizmos,757.55,39
2026-06-24,East,Widgets,2115.64,93
2026-06-24,East,Gadgets,1556.15,64
2026-06-24,East,Gizmos,921.75,36
2026-06-25,North,Widgets,1426.66,67
2026-06-25,North,Gadgets,1031.76,57
2026-06-25,North,Gizmos,610.72,33
2026-06-25,South,Widgets,1823.34,94
2026-06-25,South,Gadgets,1290.28,61
2026-06-25,South,Gizmos,786.11,31
2026-06-25,East,Widgets,2098.83,99
2026-06-25,East,Gadgets,1518.51,68
2026-06-25,East,Gizmos,914.8,50
2026-06-26,North,Widgets,1378.15,53
2026-06-26,North,Gadgets,997.48,54
2026-06-26,North,Gizmos,636.56,29
2026-06-26,South,Widgets,1758.81,80
2026-06-26,South,Gadgets,1221.34,47
2026-06-26,South,Gizmos,799.49,39
2026-06-26,East,Widgets,2248.03,118
2026-06-26,East,Gadgets,1566.54,64
2026-06-26,East,Gizmos,930.04,41
2026-06-27,North,Widgets,857.09,41
2026-06-27,North,Gadgets,621.1,25
2026-06-27,North,Gizmos,428.59,21
2026-06-27,South,Widgets,1121.22,49
2026-06-27,South,Gadgets,759.18,41
2026-06-27,South,Gizmos,517.71,20
2026-06-27,East,Widgets,1329.01,51
2026-06-27,East,Gadgets,894.44,35
2026-06-27,East,Gizmos,587.18,26
2026-06-28,North,Widgets,894.95,34
2026-06-28,North,Gadgets,672.34,30
2026-06-28,North,Gizmos,390.11,15
2026-06-28,South,Widgets,1105.16,52
2026-06-28,South,Gadgets,793.54,31
2026-06-28,South,Gizmos,481.67,26
2026-06-28,East,Widgets,1328.45,52
2026-06-28,East,Gadgets,907.69,47
2026-06-28,East,Gizmos,581.75,24
2026-06-29,North,Widgets,1426.86,69
2026-06-29,North,Gadgets,1058.07,45
2026-06-29,North,Gizmos,653.01,25
2026-06-29,South,Widgets,1828.05,96
2026-06-29,South,Gadgets,1262.46,54
2026-06-29,South,Gizmos,801.35,35
2026-06-29,East,Widgets,2117.07,86
2026-06-29,East,Gadgets,1426.83,56
2026-06-29,East,Gizmos,1027.29,56
2026-06-30,North,Widgets,1364.33,56
2026-06-30,North,Gadgets,968.53,53
2026-06-30,North,Gizmos,635.16,32
2026-06-30,South,Widgets,1887.83,81
2026-06-30,South,Gadgets,1252.28,67
2026-06-30,South,Gizmos,793.1,35
2026-06-30,East,Widgets,2156.78,91
2026-06-30,East,Gadgets,1595.58,64
2026-06-30,East,Gizmos,949.21,39
2026-07-01,North,Widgets,1394.43,58
2026-07-01,North,Gadgets,971.81,40
2026-07-01,North,Gizmos,651.71,34
2026-07-01,South,Widgets,1783.93,96
2026-07-01,South,Gadgets,1288.3,49
2026-07-01,South,Gizmos,859.93,37
2026-07-01,East,Widgets,2090.14,100
2026-07-01,East,Gadgets,1602.72,77
2026-07-01,East,Gizmos,951.83,49
2026-07-02,North,Widgets,1453.1,78
2026-07-02,North,Gadgets,1029.25,55
2026-07-02,North,Gizmos,626.27,25
2026-07-02,South,Widgets,1797.05,74
2026-07-02,South,Gadgets,1345.47,70
2026-07-02,South,Gizmos,857.77,35
2026-07-02,East,Widgets,2236.12,119
2026-07-02,East,Gadgets,1605.22,67
2026-07-02,East,Gizmos,1025.16,52
2026-07-03,North,Widgets,1540.55,71
2026-07-03,North,Gadgets,1002.71,48
2026-07-03,North,Gizmos,694.94,32
2026-07-03,South,Widgets,1853.36,75
2026-07-03,South,Gadgets,1313.97,59
2026-07-03,South,Gizmos,805.03,31
2026-07-03,East,Widgets,2302.86,101
2026-07-03,East,Gadgets,451.96,21
2026-07-03,East,Gizmos,1018.07,42
2026-07-04,North,Widgets,950.73,44
2026-07-04,North,Gadgets,688.99,37
2026-07-04,North,Gizmos,421.72,21
2026-07-04,South,Widgets,1216.71,67
2026-07-04,South,Gadgets,773.53,41
2026-07-04,South,Gizmos,517.09,23
2026-07-04,East,Widgets,1325.7,52
2026-07-04,East,Gadgets,264.75,14
2026-07-04,East,Gizmos,628.44,26
2026-07-05,North,Widgets,925.3,45
2026-07-05,North,Gadgets,678.19,35
2026-07-05,North,Gizmos,418.08,18
2026-07-05,South,Widgets,1232.5,66
2026-07-05,South,Gadgets,868.12,37
2026-07-05,South,Gizmos,514.21,26
2026-07-05,East,Widgets,1392.58,67
2026-07-05,East,Gadgets,271.8,11
2026-07-05,East,Gizmos,613.85,26
2026-07-06,North,Widgets,1539.14,60
2026-07-06,North,Gadgets,1054.61,51
2026-07-06,North,Gizmos,649.74,35
2026-07-06,South,Widgets,1866.48,91
2026-07-06,South,Gadgets,1261.04,49
2026-07-06,South,Gizmos,845.38,43
2026-07-06,East,Widgets,2347.38,96
2026-07-06,East,Gadgets,438.5,17
2026-07-06,East,Gizmos,1047.12,42
2026-07-07,North,Widgets,1511.07,62
2026-07-07,North,Gadgets,1040.04,42
2026-07-07,North,Gizmos,631.55,28
2026-07-07,South,Widgets,1924.06,97
2026-07-07,South,Gadgets,1331.86,61
2026-07-07,South,Gizmos,857.6,45
2026-07-07,East,Widgets,2149.47,112
2026-07-07,East,Gadgets,1628.21,65
2026-07-07,East,Gizmos,1052.08,55
2026-07-08,North,Widgets,1429.43,70
2026-07-08,North,Gadgets,1101.61,54
2026-07-08,North,Gizmos,699.06,34
2026-07-08,South,Widgets,1869.91,78
2026-07-08,South,Gadgets,1302.58,54
2026-07-08,South,Gizmos,837.57,35
2026-07-08,East,Widgets,2290.13,102
2026-07-08,East,Gadgets,1479.84,68
2026-07-08,East,Gizmos,1066.75,58
2026-07-09,North,Widgets,1586.39,73
2026-07-09,North,Gadgets,1049.81,52
2026-07-09,North,Gizmos,708.25,27
2026-07-09,South,Widgets,1777.34,74
2026-07-09,South,Gadgets,1310.9,70
2026-07-09,South,Gizmos,843.87,35
2026-07-09,East,Widgets,2269.73,113
2026-07-09,East,Gadgets,1540.3,62
2026-07-09,East,Gizmos,1007.18,48
2026-07-10,North,Widgets,1461.09,64
2026-07-10,North,Gadgets,1117.24,54
2026-07-10,North,Gizmos,667.71,33
2026-07-10,South,Widgets,1792.17,75
2026-07-10,South,Gadgets,1391.84,65
2026-07-10,South,Gizmos,855.21,36
2026-07-10,East,Widgets,2298.37,110
2026-07-10,East,Gadgets,1513.56,59
2026-07-10,East,Gizmos,1029.35,54
2026-07-11,North,Widgets,938.63,47
2026-07-11,North,Gadgets,656.63,26
2026-07-11,North,Gizmos,458.9,19
2026-07-11,South,Widgets,1239.95,54
2026-07-11,South,Gadgets,853.26,45
2026-07-11,South,Gizmos,531.73,27
2026-07-11,East,Widgets,1387.25,75
2026-07-11,East,Gadgets,1041.16,48
2026-07-11,East,Gizmos,673.75,28
2026-07-12,North,Widgets,913.11,39
2026-07-12,North,Gadgets,697.13,34
2026-07-12,North,Gizmos,433.48,21
2026-07-12,South,Widgets,1233.69,55
2026-07-12,South,Gadgets,819.1,36
2026-07-12,South,Gizmos,532.57,21
2026-07-12,East,Widgets,1402.35,55
2026-07-12,East,Gadgets,999.88,53
2026-07-12,East,Gizmos,651.88,31
2026-07-13,North,Widgets,1568.28,67
2026-07-13,North,Gadgets,1111.23,47
2026-07-13,North,Gizmos,719.72,28
2026-07-13,South,Widgets,2014.25,107
